<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.10	10:00:00	1.07318	1.07473	1.07313	1.07386	6373	0	0
2023.01.10	11:00:00	1.07385	1.07518	1.07296	1.07461	5503	0	0
2023.01.10	12:00:00	1.07461	1.07461	1.07342	1.07365	4336	0	0
2023.01.10	13:00:00	1.07365	1.07426	1.07319	1.07352	4075	0	0
2023.01.10	14:00:00	1.07350	1.07355	1.07154	1.07194	5334	0	0
2023.01.10	15:00:00	1.07195	1.07254	1.07121	1.07217	5816	0	0
2023.01.10	16:00:00	1.07219	1.07593	1.07216	1.07407	12768	0	0
2023.01.10	17:00:00	1.07406	1.07532	1.07218	1.07277	11651	0	0
2023.01.10	18:00:00	1.07277	1.07420	1.07242	1.07365	8661	0	0
2023.01.10	19:00:00	1.07365	1.07438	1.07298	1.07334	5550	0	0
2023.01.10	20:00:00	1.07334	1.07397	1.07275	1.07380	4249	0	0
2023.01.10	21:00:00	1.07381	1.07432	1.07364	1.07410	3996	0	0
2023.01.10	22:00:00	1.07409	1.07441	1.07306	1.07361	3431	0	0
2023.01.10	23:00:00	1.07366	1.07377	1.07318	1.07334	1452	0	0
2023.01.11	00:00:00	1.07329	1.07368	1.07307	1.07342	2875	0	16
2023.01.11	01:00:00	1.07347	1.07389	1.07315	1.07383	1062	0	2
2023.01.11	02:00:00	1.07383	1.07451	1.07372	1.07451	2082	0	0
2023.01.11	03:00:00	1.07451	1.07451	1.07252	1.07310	2229	0	0
2023.01.11	04:00:00	1.07308	1.07380	1.07267	1.07268	1764	0	0
2023.01.11	05:00:00	1.07268	1.07367	1.07263	1.07334	1447	0	0
2023.01.11	06:00:00	1.07340	1.07394	1.07320	1.07386	910	0	0
2023.01.11	07:00:00	1.07387	1.07568	1.07370	1.07478	1821	0	0
2023.01.11	08:00:00	1.07480	1.07552	1.07459	1.07459	1917	0	0
2023.01.11	09:00:00	1.07459	1.07575	1.07437	1.07469	5159	0	0
2023.01.11	10:00:00	1.07469	1.07489	1.07289	1.07298	6055	0	0
2023.01.11	11:00:00	1.07298	1.07483	1.07255	1.07417	5459	0	0
2023.01.11	12:00:00	1.07417	1.07513	1.07401	1.07493	4187	0	0
2023.01.11	13:00:00	1.07493	1.07555	1.07436	1.07485	4467	0	0
2023.01.11	14:00:00	1.07485	1.07489	1.07282	1.07407	4838	0	0
2023.01.11	15:00:00	1.07407	1.07529	1.07393	1.07499	5004	0	0
2023.01.11	16:00:00	1.07499	1.07765	1.07451	1.07699	8066	0	0
2023.01.11	17:00:00	1.07699	1.07749	1.07520	1.07550	8742	0	0
2023.01.11	18:00:00	1.07551	1.07619	1.07377	1.07388	5364	0	0
2023.01.11	19:00:00	1.07390	1.07486	1.07364	1.07468	3669	0	0
2023.01.11	20:00:00	1.07467	1.07671	1.07350	1.07533	5453	0	0
2023.01.11	21:00:00	1.07533	1.07638	1.07477	1.07634	3463	0	0
2023.01.11	22:00:00	1.07634	1.07634	1.07525	1.07539	2786	0	0
2023.01.11	23:00:00	1.07537	1.07580	1.07517	1.07556	1394	0	0
2023.01.12	00:00:00	1.07535	1.07603	1.07490	1.07557	1119	0	29
2023.01.12	01:00:00	1.07584	1.07674	1.07560	1.07655	2290	0	2
2023.01.12	02:00:00	1.07655	1.07746	1.07599	1.07611	3492	0	1
2023.01.12	03:00:00	1.07612	1.07675	1.07605	1.07667	3132	0	1
2023.01.12	04:00:00	1.07667	1.07689	1.07615	1.07670	2004	0	1
2023.01.12	05:00:00	1.07670	1.07712	1.07649	1.07686	1378	0	0
2023.01.12	06:00:00	1.07686	1.07736	1.07660	1.07716	1292	0	0
2023.01.12	07:00:00	1.07718	1.07752	1.07624	1.07628	2220	0	0
2023.01.12	08:00:00	1.07628	1.07690	1.07567	1.07574	2556	0	0
2023.01.12	09:00:00	1.07571	1.07652	1.07556	1.07627	4470	0	0
2023.01.12	10:00:00	1.07626	1.07647	1.07455	1.07481	5101	0	0
2023.01.12	11:00:00	1.07478	1.07735	1.07427	1.07655	6366	0	0
2023.01.12	12:00:00	1.07654	1.07685	1.07518	1.07625	4973	0	0
2023.01.12	13:00:00	1.07625	1.07667	1.07591	1.07617	3819	0	0
2023.01.12	14:00:00	1.07618	1.07667	1.07549	1.07629	4777	0	0
2023.01.12	15:00:00	1.07628	1.08386	1.07302	1.08291	16582	0	0
2023.01.12	16:00:00	1.08291	1.08337	1.07515	1.07677	17433	0	0
2023.01.12	17:00:00	1.07677	1.08097	1.07637	1.08070	17375	0	0
2023.01.12	18:00:00	1.08069	1.08260	1.08025	1.08225	11737	0	0
2023.01.12	19:00:00	1.08226	1.08490	1.08214	1.08487	8055	0	0
2023.01.12	20:00:00	1.08487	1.08670	1.08463	1.08557	8197	0	0
2023.01.12	21:00:00	1.08557	1.08561	1.08397	1.08494	6182	0	0
2023.01.12	22:00:00	1.08493	1.08524	1.08413	1.08522	5060	0	0
2023.01.12	23:00:00	1.08523	1.08551	1.08488	1.08515	1628	0	0
2023.01.13	00:00:00	1.08497	1.08497	1.08385	1.08465	604	0	7
2023.01.13	01:00:00	1.08464	1.08599	1.08452	1.08597	2542	0	2
2023.01.13	02:00:00	1.08595	1.08678	1.08511	1.08522	4168	0	0
2023.01.13	03:00:00	1.08522	1.08562	1.08455	1.08554	3220	0	0
2023.01.13	04:00:00	1.08555	1.08563	1.08314	1.08445	3718	0	1
2023.01.13	05:00:00	1.08449	1.08475	1.08414	1.08454	1854	0	0
2023.01.13	06:00:00	1.08454	1.08463	1.08376	1.08397	1426	0	0
2023.01.13	07:00:00	1.08398	1.08435	1.08319	1.08372	2299	0	0
2023.01.13	08:00:00	1.08372	1.08510	1.08337	1.08451	3518	0	0
2023.01.13	09:00:00	1.08453	1.08489	1.08332	1.08489	6126	0	0
2023.01.13	10:00:00	1.08488	1.08645	1.08371	1.08554	8656	0	0
2023.01.13	11:00:00	1.08554	1.08603	1.08333	1.08426	6408	0	0
2023.01.13	12:00:00	1.08425	1.08518	1.08372	1.08452	4834	0	0
2023.01.13	13:00:00	1.08453	1.08458	1.08084	1.08121	6363	0	0
2023.01.13	14:00:00	1.08121	1.08160	1.08034	1.08119	5809	0	0
2023.01.13	15:00:00	1.08120	1.08203	1.07926	1.07937	8210	0	0
2023.01.13	16:00:00	1.07938	1.08202	1.07805	1.08181	9653	0	0
2023.01.13	17:00:00	1.08173	1.08388	1.08122	1.08296	10678	0	0
2023.01.13	18:00:00	1.08294	1.08336	1.08012	1.08102	7829	0	0
2023.01.13	19:00:00	1.08102	1.08318	1.08067	1.08283	4837	0	0
2023.01.13	20:00:00	1.08283	1.08346	1.08182	1.08312	3429	0	0
2023.01.13	21:00:00	1.08312	1.08353	1.08267	1.08293	3270	0	0
2023.01.13	22:00:00	1.08293	1.08358	1.08271	1.08325	3074	0	0
2023.01.13	23:00:00	1.08329	1.08345	1.08285	1.08323	1328	0	0
2023.01.16	00:00:00	1.08295	1.08348	1.08287	1.08309	879	0	31
2023.01.16	01:00:00	1.08306	1.08320	1.08193	1.08226	1901	0	2
2023.01.16	02:00:00	1.08227	1.08442	1.08208	1.08416	2819	0	1
2023.01.16	03:00:00	1.08416	1.08720	1.08405	1.08680	3911	0	0
2023.01.16	04:00:00	1.08680	1.08742	1.08656	1.08667	3429	0	0
2023.01.16	05:00:00	1.08667	1.08674	1.08590	1.08600	1387	0	0
2023.01.16	06:00:00	1.08600	1.08639	1.08508	1.08528	1316	0	0
2023.01.16	07:00:00	1.08531	1.08611	1.08525	1.08605	1763	0	0
2023.01.16	08:00:00	1.08603	1.08606	1.08360	1.08395	2622	0	0
2023.01.16	09:00:00	1.08395	1.08424	1.08268	1.08312	4575	0	0
2023.01.16	10:00:00	1.08307	1.08321	1.08024	1.08036	7471	0	0
2023.01.16	11:00:00	1.08035	1.08241	1.08016	1.08210	4815	0	0
2023.01.16	12:00:00	1.08210	1.08336	1.08207	1.08301	3538	0	0
2023.01.16	13:00:00	1.08301	1.08367	1.08240	1.08271	3720	0	0
2023.01.16	14:00:00	1.08270	1.08284	1.08145	1.08153	3446	0	0
2023.01.16	15:00:00	1.08152	1.08202	1.08060	1.08159	4219	0	0
2023.01.16	16:00:00	1.08159	1.08256	1.08140	1.08220	3970	0	0
2023.01.16	17:00:00	1.08221	1.08293	1.08163	1.08252	3355	0	0
2023.01.16	18:00:00	1.08253	1.08264	1.08174	1.08248	2855	0	0
2023.01.16	19:00:00	1.08247	1.08267	1.08118	1.08139	1699	0	0
2023.01.16	20:00:00	1.08138	1.08148	1.08109	1.08129	511	0	0
2023.01.16	21:00:00	1.08130	1.08194	1.08125	1.08194	447	0	0
2023.01.16	22:00:00	1.08194	1.08207	1.08175	1.08203	483	0	0
2023.01.16	23:00:00	1.08205	1.08247	1.08189	1.08210	640	0	0
2023.01.17	00:00:00	1.08197	1.08222	1.08162	1.08219	1753	0	20
2023.01.17	01:00:00	1.08219	1.08319	1.08198	1.08297	2556	0	2
2023.01.17	02:00:00	1.08297	1.08337	1.08256	1.08287	1580	0	0
2023.01.17	03:00:00	1.08287	1.08317	1.08141	1.08171	3050	0	0
2023.01.17	04:00:00	1.08169	1.08327	1.08060	1.08143	2757	0	1
2023.01.17	05:00:00	1.08143	1.08285	1.08137	1.08251	1972	0	0
2023.01.17	06:00:00	1.08251	1.08287	1.08221	1.08260	1280	0	0
2023.01.17	07:00:00	1.08260	1.08325	1.08220	1.08311	1840	0	0
2023.01.17	08:00:00	1.08310	1.08356	1.08136	1.08146	2682	0	0
2023.01.17	09:00:00	1.08146	1.08297	1.08120	1.08282	5943	0	0
2023.01.17	10:00:00	1.08282	1.08388	1.08231	1.08274	6673	0	0
2023.01.17	11:00:00	1.08273	1.08311	1.08110	1.08172	5647	0	0
2023.01.17	12:00:00	1.08174	1.08275	1.08088	1.08217	5990	0	0
2023.01.17	13:00:00	1.08217	1.08339	1.08136	1.08322	5480	0	0
2023.01.17	14:00:00	1.08326	1.08578	1.08223	1.08529	6509	0	0
2023.01.17	15:00:00	1.08527	1.08581	1.08362	1.08426	8567	0	0
2023.01.17	16:00:00	1.08427	1.08694	1.08421	1.08628	10272	0	0
2023.01.17	17:00:00	1.08631	1.08639	1.07952	1.08017	13381	0	0
2023.01.17	18:00:00	1.08017	1.08092	1.07860	1.07925	7844	0	0
2023.01.17	19:00:00	1.07929	1.07986	1.07745	1.07822	4590	0	0
2023.01.17	20:00:00	1.07822	1.07967	1.07799	1.07953	3265	0	0
2023.01.17	21:00:00	1.07954	1.08038	1.07915	1.07935	4862	0	0
2023.01.17	22:00:00	1.07934	1.07971	1.07868	1.07937	3975	0	0
2023.01.17	23:00:00	1.07933	1.07939	1.07872	1.07876	1538	0	0
2023.01.18	00:00:00	1.07879	1.07932	1.07862	1.07900	545	0	18
2023.01.18	01:00:00	1.07906	1.07932	1.07853	1.07895	1831	0	2
2023.01.18	02:00:00	1.07895	1.07913	1.07824	1.07843	2036	0	0
2023.01.18	03:00:00	1.07843	1.07963	1.07832	1.07962	2613	0	0
2023.01.18	04:00:00	1.07962	1.07993	1.07661	1.07870	7346	0	0
2023.01.18	05:00:00	1.07874	1.07891	1.07681	1.07731	6171	0	0
2023.01.18	06:00:00	1.07731	1.07776	1.07671	1.07745	3560	0	0
2023.01.18	07:00:00	1.07745	1.07802	1.07679	1.07797	3953	0	0
2023.01.18	08:00:00	1.07794	1.07910	1.07793	1.07895	5237	0	0
2023.01.18	09:00:00	1.07897	1.08367	1.07893	1.08256	10340	0	0
2023.01.18	10:00:00	1.08258	1.08514	1.08255	1.08434	8841	0	0
2023.01.18	11:00:00	1.08435	1.08715	1.08371	1.08699	7352	0	0
2023.01.18	12:00:00	1.08699	1.08700	1.08498	1.08527	6060	0	0
2023.01.18	13:00:00	1.08528	1.08543	1.08114	1.08152	5911	0	0
2023.01.18	14:00:00	1.08150	1.08338	1.08147	1.08240	5520	0	0
2023.01.18	15:00:00	1.08237	1.08679	1.08223	1.08583	10505	0	0
2023.01.18	16:00:00	1.08584	1.08874	1.08478	1.08639	13499	0	0
2023.01.18	17:00:00	1.08639	1.08689	1.08267	1.08334	11487	0	0
2023.01.18	18:00:00	1.08334	1.08357	1.08137	1.08269	9526	0	0
2023.01.18	19:00:00	1.08269	1.08280	1.07874	1.07959	8160	0	0
2023.01.18	20:00:00	1.07960	1.07991	1.07868	1.07966	6335	0	0
2023.01.18	21:00:00	1.07966	1.07969	1.07872	1.07952	5035	0	0
2023.01.18	22:00:00	1.07952	1.07952	1.07876	1.07893	4474	0	0
2023.01.18	23:00:00	1.07899	1.07974	1.07892	1.07936	1450	0	0
2023.01.19	00:00:00	1.07903	1.07936	1.07873	1.07903	1311	0	10
2023.01.19	01:00:00	1.07903	1.07977	1.07898	1.07971	1796	0	2
2023.01.19	02:00:00	1.07976	1.07982	1.07863	1.07875	3615	0	1
2023.01.19	03:00:00	1.07875	1.07956	1.07825	1.07876	2999	0	0
2023.01.19	04:00:00	1.07877	1.07946	1.07822	1.07935	1933	0	0
2023.01.19	05:00:00	1.07935	1.08056	1.07926	1.08006	2095	0	0
2023.01.19	06:00:00	1.08005	1.08022	1.07931	1.07955	2267	0	0
2023.01.19	07:00:00	1.07955	1.07982	1.07908	1.07916	2469	0	0
2023.01.19	08:00:00	1.07917	1.08033	1.07909	1.07911	2530	0	0
2023.01.19	09:00:00	1.07914	1.08140	1.07825	1.08081	6629	0	0
2023.01.19	10:00:00	1.08084	1.08250	1.08034	1.08170	6452	0	0
2023.01.19	11:00:00	1.08170	1.08293	1.08160	1.08249	4983	0	0
2023.01.19	12:00:00	1.08250	1.08382	1.08154	1.08292	6004	0	0
2023.01.19	13:00:00	1.08291	1.08347	1.08161	1.08219	5225	0	0
2023.01.19	14:00:00	1.08219	1.08272	1.08050	1.08090	4935	0	0
2023.01.19	15:00:00	1.08092	1.08230	1.07955	1.08096	9525	0	0
2023.01.19	16:00:00	1.08095	1.08253	1.07951	1.08104	9871	0	0
2023.01.19	17:00:00	1.08104	1.08191	1.07836	1.07892	9687	0	0
2023.01.19	18:00:00	1.07892	1.08095	1.07874	1.08092	6648	0	0
2023.01.19	19:00:00	1.08089	1.08247	1.08088	1.08165	5467	0	0
2023.01.19	20:00:00	1.08164	1.08352	1.08131	1.08285	6133	0	0
2023.01.19	21:00:00	1.08285	1.08362	1.08212	1.08306	4326	0	0
2023.01.19	22:00:00	1.08306	1.08401	1.08280	1.08292	4371	0	0
2023.01.19	23:00:00	1.08290	1.08348	1.08280	1.08294	1739	0	0
2023.01.20	00:00:00	1.08291	1.08336	1.08264	1.08292	319	0	23
2023.01.20	01:00:00	1.08292	1.08368	1.08272	1.08332	1140	0	2
2023.01.20	02:00:00	1.08332	1.08404	1.08287	1.08311	1926	0	0
2023.01.20	03:00:00	1.08314	1.08437	1.08281	1.08362	2159	0	0
2023.01.20	04:00:00	1.08363	1.08440	1.08314	1.08365	1676	0	0
2023.01.20	05:00:00	1.08365	1.08384	1.08324	1.08343	1053	0	0
2023.01.20	06:00:00	1.08343	1.08350	1.08280	1.08297	1464	0	0
2023.01.20	07:00:00	1.08296	1.08356	1.08252	1.08353	1806	0	0
2023.01.20	08:00:00	1.08354	1.08368	1.08238	1.08244	1966	0	0
2023.01.20	09:00:00	1.08247	1.08466	1.08207	1.08400	4914	0	0
2023.01.20	10:00:00	1.08403	1.08591	1.08384	1.08407	5472	0	0
